"version","weather","variant","iter","best_acc","best_f1","best_acc_epoch","best_f1_epoch","epochs","train_acc","val_acc","val_f1","path"
"v8","黑天","module_c_no_paired_contrastive","01","0.966667","0.950705","36","45","60","0.998188","0.958333","0.950705","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_paired_contrastive_黑天_20260829_225211\result_summary_iter01.json"
"v8","黑天","module_c_no_paired_contrastive","02","0.95","0.945925","45","45","60","0.994565","0.95","0.945925","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_paired_contrastive_黑天_20260829_225211\result_summary_iter02.json"
"v8","黑天","module_c_no_paired_contrastive","03","0.983333","0.971383","43","43","58","0.992754","0.983333","0.971383","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_paired_contrastive_黑天_20260829_225211\result_summary_iter03.json"
"v8","逆光","module_c_full","01","1","1","30","30","50","0.956522","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_full_逆光_20260829_205332\result_summary_iter01.json"
"v8","逆光","module_c_full","02","1","1","19","19","45","0.896739","0.972973","0.980247","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_full_逆光_20260829_205332\result_summary_iter02.json"
"v8","逆光","module_c_full","03","1","1","30","30","59","0.975543","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_full_逆光_20260829_205332\result_summary_iter03.json"
"v8","逆光","module_c_no_cycle","01","1","1","30","30","50","0.956522","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_cycle_逆光_20260829_213218\result_summary_iter01.json"
"v8","逆光","module_c_no_cycle","02","0.972973","0.980247","17","17","45","0.910326","0.972973","0.980247","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_cycle_逆光_20260829_213218\result_summary_iter02.json"
"v8","逆光","module_c_no_cycle","03","1","1","30","30","60","0.986413","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_cycle_逆光_20260829_213218\result_summary_iter03.json"
"v8","逆光","module_c_no_identity","01","1","1","31","31","60","0.980978","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_identity_逆光_20260829_221218\result_summary_iter01.json"
"v8","逆光","module_c_no_identity","02","1","1","30","30","46","0.932065","0.972973","0.980247","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_identity_逆光_20260829_221218\result_summary_iter02.json"
"v8","逆光","module_c_no_identity","03","1","1","34","34","59","0.970109","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_identity_逆光_20260829_221218\result_summary_iter03.json"
"v8","逆光","module_c_no_paired_contrastive","01","1","1","30","30","50","0.953804","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_paired_contrastive_逆光_20260829_225211\result_summary_iter01.json"
