constraint,domain,iteration,seed,metric,higher_is_better,full_metric_mean,ablated_metric_mean,mechanism_gain,full_secondary_mean,ablated_secondary_mean,full_val_f1,ablated_val_f1,f1_gain,paired_target_samples,paired_source_samples
identity,逆光,2,46,Target identity cosine error,False,0.02378000023218168,0.024896431993643862,0.0011164317614621826,0.023617979317070083,0.02470400499150963,1.0,0.9840455840455841,0.015954415954415935,37,512
identity,逆光,3,47,Target identity cosine error,False,0.023602318368384854,0.025590622942544793,0.001988304574159938,0.02356242921477361,0.02558154862425168,1.0,1.0,0.0,37,512
identity,雨天,1,48,Target identity cosine error,False,0.018255905145031465,0.02101451858639099,0.0027586134413595254,0.017436114486476043,0.02030983959147513,1.0,1.0,0.0,26,512
identity,雨天,2,49,Target identity cosine error,False,0.020517384383368694,0.02478920660861066,0.0042718222252419655,0.019875826082396693,0.024214923269291436,1.0,1.0,0.0,26,512
identity,雨天,3,50,Target identity cosine error,False,0.019606083853448236,0.02343339859280463,0.003827314739356394,0.019067710849391267,0.022839999579211803,1.0,1.0,0.0,26,512
identity,黑天,1,42,Target identity cosine error,False,0.015490734348948855,0.019277179875264797,0.0037864455263159416,0.013619399519470825,0.017681749398674874,0.9826839826839827,0.9826839826839827,0.0,120,512
identity,黑天,2,43,Target identity cosine error,False,0.012696841309450143,0.019211200156081625,0.0065143588466314815,0.01187319098389062,0.01803052235194667,0.9826839826839827,0.9916891284815813,-0.00900514579759859,120,512
identity,黑天,3,44,Target identity cosine error,False,0.009861814741652531,0.019111595821412225,0.009249781079759694,0.009100573026060451,0.018086387541368543,0.9916891284815813,0.9916891284815813,0.0,120,512
paired_contrastive,逆光,1,45,Correct-vs-nearest-wrong prototype margin,True,0.0948649125423472,0.05198052221656849,0.04288439032577872,0.7869155713828113,0.8492340887043252,1.0,0.9775533108866442,0.02244668911335579,37,512
paired_contrastive,逆光,2,46,Correct-vs-nearest-wrong prototype margin,True,0.06538292463686271,0.0694798533596892,-0.004096928722826493,0.751700230467029,0.7943536269635286,1.0,1.0,0.0,37,512
paired_contrastive,逆光,3,47,Correct-vs-nearest-wrong prototype margin,True,0.10742278557584935,0.10373903670772762,0.003683748868121728,0.7129762507118165,0.744380059458835,1.0,1.0,0.0,37,512
paired_contrastive,雨天,1,48,Correct-vs-nearest-wrong prototype margin,True,0.027609646814411772,0.028562108969936186,-0.0009524621555244139,0.9415977582033592,0.9286532837494517,1.0,0.9663299663299664,0.03367003367003363,26,512
paired_contrastive,雨天,2,49,Correct-vs-nearest-wrong prototype margin,True,0.08527381682061558,0.09040565478106861,-0.005131837960453037,0.8273807565657456,0.8036761330090323,1.0,1.0,0.0,26,512
paired_contrastive,雨天,3,50,Correct-vs-nearest-wrong prototype margin,True,0.0401332510129675,0.03292642128072623,0.0072068297322412656,0.8563912356179292,0.8819533800546251,1.0,1.0,0.0,26,512
paired_contrastive,黑天,1,42,Correct-vs-nearest-wrong prototype margin,True,0.32215757796854955,0.30716757962939595,0.014989998339153598,0.5188374869795427,0.5445951383537391,0.9826839826839827,0.9826839826839827,0.0,120,512
paired_contrastive,黑天,2,43,Correct-vs-nearest-wrong prototype margin,True,0.34800392337083175,0.27639749465250907,0.07160642871832268,0.44635740419917874,0.5297289050181894,0.9826839826839827,0.9826839826839827,0.0,120,512
paired_contrastive,黑天,3,44,Correct-vs-nearest-wrong prototype margin,True,0.4309213921964595,0.3174847648365535,0.11343662735990595,0.3720898315429155,0.4778302985591257,0.9916891284815813,0.9916891284815813,0.0,120,512
prototype_contrastive,逆光,1,45,Correct-vs-nearest-wrong prototype margin,True,0.0948649125423472,0.07872785918355407,0.016137053358793133,0.7869155713828113,0.82194546516516,1.0,1.0,0.0,37,512
prototype_contrastive,逆光,2,46,Correct-vs-nearest-wrong prototype margin,True,0.06538292463686271,0.05318713228091612,0.012195792355946589,0.751700230467029,0.8083516764110774,1.0,1.0,0.0,37,512
prototype_contrastive,逆光,3,47,Correct-vs-nearest-wrong prototype margin,True,0.10742278557584935,0.042961628110223124,0.06446115746562622,0.7129762507118165,0.8101021595399357,1.0,1.0,0.0,37,512
prototype_contrastive,雨天,1,48,Correct-vs-nearest-wrong prototype margin,True,0.027609646814411772,0.05241120363063929,-0.024801556816227515,0.9415977582033592,0.8658753970719507,1.0,1.0,0.0,26,512
prototype_contrastive,雨天,2,49,Correct-vs-nearest-wrong prototype margin,True,0.08527381682061558,0.06427739502224103,0.020996421798374548,0.8273807565657456,0.8202353096249158,1.0,1.0,0.0,26,512
prototype_contrastive,雨天,3,50,Correct-vs-nearest-wrong prototype margin,True,0.0401332510129675,0.04274468823570331,-0.00261143722273581,0.8563912356179292,0.8811990744404766,1.0,1.0,0.0,26,512
prototype_contrastive,黑天,1,42,Correct-vs-nearest-wrong prototype margin,True,0.32215757796854955,0.3109677159768251,0.011189861991724448,0.5188374869795427,0.5476207878725546,0.9826839826839827,0.9826839826839827,0.0,120,512
prototype_contrastive,黑天,2,43,Correct-vs-nearest-wrong prototype margin,True,0.34800392337083175,0.311350052765876,0.03665387060495573,0.44635740419917874,0.5219044508443168,0.9826839826839827,0.9826839826839827,0.0,120,512
prototype_contrastive,黑天,3,44,Correct-vs-nearest-wrong prototype margin,True,0.4309213921964595,0.37675516264975245,0.05416622954670702,0.3720898315429155,0.4276787104872333,0.9916891284815813,0.9916891284815813,0.0,120,512
classification_feedback,逆光,1,45,Generated-feature correct-class logit margin,True,4.533441645017749,3.8725321188166335,0.6609095262011158,0.9450821026627994,0.9171975957948815,1.0,1.0,0.0,37,512
classification_feedback,逆光,2,46,Generated-feature correct-class logit margin,True,4.1881328660088615,4.001762929800394,0.1863699362084672,0.9385750696357842,0.9359731402294402,1.0,1.0,0.0,37,512
classification_feedback,逆光,3,47,Generated-feature correct-class logit margin,True,4.755133511039202,4.193563417002961,0.5615700940362407,0.9564132210244665,0.93908004764528,1.0,1.0,0.0,37,512
classification_feedback,雨天,1,48,Generated-feature correct-class logit margin,True,3.8782805617039022,3.387080740470153,0.4911998212337494,0.8949248377637173,0.863037221350229,1.0,1.0,0.0,26,512
classification_feedback,雨天,2,49,Generated-feature correct-class logit margin,True,5.152556295220095,3.760400172179708,1.3921561230403872,0.9746892540336436,0.880347446259164,1.0,1.0,0.0,26,512
classification_feedback,雨天,3,50,Generated-feature correct-class logit margin,True,3.938746106166106,3.714095558111484,0.22465054805462215,0.8809499350429812,0.8923589455999799,1.0,1.0,0.0,26,512
classification_feedback,黑天,1,42,Generated-feature correct-class logit margin,True,6.168680131435394,5.923140465510854,0.24553966592454035,0.9728843407870207,0.9709132685087198,0.9826839826839827,0.9916891284815813,-0.00900514579759859,120,512
classification_feedback,黑天,2,43,Generated-feature correct-class logit margin,True,5.790463108899227,5.204205726510069,0.5862573823891584,0.9681697356448595,0.9497865137730377,0.9826839826839827,0.9826839826839827,0.0,120,512
classification_feedback,黑天,3,44,Generated-feature correct-class logit margin,True,5.779957408085465,6.2226382610077655,-0.4426808529223001,0.9645862867719652,0.9694483453456378,0.9916891284815813,0.9847346631937827,0.006954465287798639,120,512
