variant,domain,runs,best_val_acc_mean,best_val_acc_std,best_val_acc_ci95,best_val_precision_mean,best_val_precision_std,best_val_precision_ci95,best_val_recall_mean,best_val_recall_std,best_val_recall_ci95,best_val_f1_mean,best_val_f1_std,best_val_f1_ci95,best_val_correct_mean,best_val_correct_std,best_val_correct_ci95,best_val_total_mean,best_val_total_std,best_val_total_ci95,best_val_errors_mean,best_val_errors_std,best_val_errors_ci95,best_val_acc_wilson_low_mean,best_val_acc_wilson_low_std,best_val_acc_wilson_low_ci95,best_val_acc_wilson_high_mean,best_val_acc_wilson_high_std,best_val_acc_wilson_high_ci95,best_train_full_acc_mean,best_train_full_acc_std,best_train_full_acc_ci95,generalization_gap_mean,generalization_gap_std,generalization_gap_ci95
no_identity,雨天,3,0.9743589743589743,0.02220577958421636,0.02512820512820511,0.9703703703703703,0.027962349760262097,0.03164237751607311,0.9819444444444444,0.016839382851364083,0.019055555555555555,0.9728395061728395,0.023811483360476428,0.026945230002831708,25.333333333333332,0.5773502691896257,0.6533333333333333,26.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,0.8311344721187368,0.03475575072734613,0.03932983439510881,0.9954521273486735,0.0039385732492252705,0.004456915198300007,,,,,,
no_identity,雾天,3,0.9722222222222222,0.004373865675678979,0.004949494949494946,0.9731121964455298,0.00997572554925882,0.011288596149203758,0.9707570207570207,0.004934617685381399,0.005584045584045564,0.9703367129733895,0.007336323459993232,0.00830183151599895,128.33333333333334,0.5773502691896257,0.6533333333333333,132.0,0.0,0.0,3.6666666666666665,0.5773502691896257,0.6533333333333333,0.92821908578585,0.006140700432591043,0.006948856693627808,0.9895164728844444,0.002359645105000243,0.002670189803665191,1.0,0.0,0.0,0.022727272727272707,0.0,0.0
no_identity,黑天,3,0.9888888888888889,0.004811252243246928,0.005444444444444498,0.9915824915824916,0.006560798513518469,0.007424242424242417,0.9876201034737621,0.0017602142353342265,0.001991869918699189,0.9893709733856484,0.0040151624059804525,0.004543583988028444,118.66666666666667,0.5773502691896257,0.6533333333333333,120.0,0.0,0.0,1.3333333333333333,0.5773502691896257,0.6533333333333333,0.9499560141461472,0.007528480909225912,0.008519278139879858,0.9974908319324997,0.0017955308798601297,0.0020318344641780416,,,,,,
no_module_c,逆光,3,0.972972972972973,0.02702702702702703,0.03058396020572072,0.9777777777777777,0.022222222222222254,0.025146811724703736,0.9830246913580247,0.01625872492724184,0.018398479258309383,0.9784511784511785,0.021114210579223053,0.023892978516816116,36.0,1.0,1.1316065276116665,37.0,0.0,0.0,1.0,1.0,1.1316065276116665,0.863548535844608,0.04152336821321888,0.04698811451850127,0.9934208287248508,0.007634781473527394,0.008639568552332217,0.9772727272727273,0.0,0.0,0.004299754299754266,0.0,0.0
no_module_c,雨天,3,0.9487179487179487,0.058750970448151814,0.06648298166264871,0.9555555555555556,0.05091750772173154,0.05761858410762885,0.9680555555555556,0.03127313958110473,0.03538888888888889,0.9510242843576177,0.05590937397294303,0.06326741254246415,24.666666666666668,1.5275252316519468,1.728557523228866,26.0,0.0,0.0,1.3333333333333333,1.5275252316519468,1.728557523228866,0.7975240851356037,0.08136485131003955,0.09207299686059342,0.9843821576038384,0.021416401861062584,0.024234940143933063,0.9583333333333333,0.029462782549439456,0.04083333333333329,0.03525641025641024,0.024930046772602705,0.03455128205128214
no_module_c,雾天,3,0.9545454545454546,0.020043570538368093,0.02268143525786222,0.9645912496878681,0.020454722589640824,0.02314669760292337,0.9499525166191832,0.017614942036886967,0.019933183392442436,0.9548450971511493,0.018743653899781828,0.02121044110428699,126.0,2.6457513110645907,2.9939494540378155,132.0,0.0,0.0,6.0,2.6457513110645907,2.9939494540378155,0.9049509689416011,0.02672772621084354,0.030245269448407986,0.9784308522383615,0.012229356675542579,0.01383881984253529,0.985207100591716,0.006973439656672024,0.009664694280078837,0.042025282409897724,0.0016165701022284864,0.0022404518558364183
no_module_c,黑天,3,0.986111111111111,0.004811252243246928,0.005444444444444498,0.9823933782267116,0.0138543042860979,0.015677621165666674,0.9866038433111604,0.0017602142353342265,0.001991869918699189,0.9840511030238493,0.008001733398378315,0.009054813745813186,118.33333333333333,0.5773502691896257,0.6533333333333333,120.0,0.0,0.0,1.6666666666666667,0.5773502691896257,0.6533333333333333,0.9456094436666167,0.007528480909225912,0.008519278139879858,0.9964541816956741,0.0017955308798601297,0.0020318344641780416,0.9978494623655914,0.0,0.0,0.014516129032258074,0.0,0.0
no_paired_contrastive,逆光,3,0.981981981981982,0.015604061329449314,0.017657657657657623,0.9851851851851853,0.012830005981991638,0.014518518518518465,0.9876543209876544,0.010691671651659719,0.012098765432098747,0.9850355405910961,0.012959602002011806,0.014665170220725781,36.333333333333336,0.5773502691896257,0.6533333333333333,37.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,0.8764838245978631,0.02550896701610343,0.02886611358805334,0.996808765963395,0.0027636897451215553,0.003127409355872975,0.9772727272727273,0.0,0.0,0.004299754299754266,0.0,0.0
no_paired_contrastive,雨天,3,0.9871794871794872,0.02220577958421636,0.02512820512820511,0.9907407407407407,0.016037507477489613,0.018148148148148156,0.9888888888888889,0.01924500897298752,0.021777777777777774,0.9887766554433222,0.019439403003017677,0.021997755331088636,25.666666666666668,0.5773502691896257,0.6533333333333333,26.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.8512007141570576,0.03475575072734613,0.03932983439510881,0.9977260636743367,0.0039385732492252705,0.004456915198300007,0.9895833333333334,0.0,0.0,-0.01041666666666663,0.0,0.0
no_paired_contrastive,雾天,3,0.9747474747474748,0.004373865675678979,0.004949494949494946,0.9786406186406187,0.008406039440195797,0.009512329101886685,0.9642043142043141,0.013622556551191437,0.015415373916087303,0.9699993581529798,0.010104188903118119,0.011433966118989827,128.66666666666666,0.5773502691896257,0.6533333333333333,132.0,0.0,0.0,3.3333333333333335,0.5773502691896257,0.6533333333333333,0.9317644208336192,0.006140700432591043,0.006948856693627808,0.9908788146210082,0.002359645105000243,0.002670189803665191,,,,,,
no_paired_contrastive,黑天,3,0.986111111111111,0.004811252243246928,0.005444444444444498,0.9877946127946128,0.006560798513518469,0.007424242424242417,0.9866038433111604,0.0017602142353342265,0.001991869918699189,0.9870528182897156,0.0040151624059804525,0.004543583988028444,118.33333333333333,0.5773502691896257,0.6533333333333333,120.0,0.0,0.0,1.6666666666666667,0.5773502691896257,0.6533333333333333,0.9456094436666167,0.007528480909225912,0.008519278139879858,0.9964541816956741,0.0017955308798601297,0.0020318344641780416,0.9978494623655914,0.0,0.0,0.010349462365591366,0.005892556509887953,0.008166666666666746
no_prototype_contrastive,逆光,3,0.981981981981982,0.015604061329449314,0.017657657657657623,0.9851851851851853,0.012830005981991638,0.014518518518518465,0.9876543209876544,0.010691671651659719,0.012098765432098747,0.9850355405910961,0.012959602002011806,0.014665170220725781,36.333333333333336,0.5773502691896257,0.6533333333333333,37.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,0.8764838245978631,0.02550896701610343,0.02886611358805334,0.996808765963395,0.0027636897451215553,0.003127409355872975,,,,,,
no_prototype_contrastive,雨天,3,0.9871794871794872,0.02220577958421636,0.02512820512820511,0.9907407407407407,0.016037507477489613,0.018148148148148156,0.9888888888888889,0.01924500897298752,0.021777777777777774,0.9887766554433222,0.019439403003017677,0.021997755331088636,25.666666666666668,0.5773502691896257,0.6533333333333333,26.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.8512007141570576,0.03475575072734613,0.03932983439510881,0.9977260636743367,0.0039385732492252705,0.004456915198300007,,,,,,
no_prototype_contrastive,雾天,3,0.9797979797979798,0.004373865675678979,0.004949494949494946,0.9814470501826823,0.0074262132953812135,0.008403551440489926,0.9761633428300095,0.004148926162634487,0.004694951928216009,0.9776157583933143,0.006235893424149011,0.007056577704257687,129.33333333333334,0.5773502691896257,0.6533333333333333,132.0,0.0,0.0,2.6666666666666665,0.5773502691896257,0.6533333333333333,0.9390194470853989,0.006425373645737178,0.007270994759860162,0.993439141937895,0.00207497189185398,0.002348051737432693,,,,,,
no_prototype_contrastive,黑天,3,0.9916666666666667,0.0,0.0,0.9845679012345679,0.009355212695202215,0.010586419753086359,0.9886363636363636,0.0,0.0,0.985685697949849,0.0051991233503353735,0.005883361921097746,119.0,0.0,0.0,120.0,0.0,0.0,1.0,0.0,0.0,0.9543025846256777,0.0,0.0,0.9985274821693252,0.0,0.0,1.0,0.0,0.0,0.008333333333333304,0.0,0.0
