constraint,domain,iteration,seed,metric,higher_is_better,full_metric_mean,ablated_metric_mean,mechanism_gain,full_secondary_mean,ablated_secondary_mean,full_val_f1,ablated_val_f1,f1_gain,paired_target_samples,paired_source_samples
paired_contrastive,雨天,1,48,Correct-vs-nearest-wrong prototype margin,True,0.04983882956699863,0.07125767145075265,-0.021418841883754022,0.8479293708283202,0.7924321521180079,1.0,1.0,0.0,26,512
paired_contrastive,雨天,2,49,Correct-vs-nearest-wrong prototype margin,True,0.0621529017790619,0.05805993580713609,0.004092965971925815,0.823043562566669,0.8372229899031066,1.0,1.0,0.0,26,512
paired_contrastive,雨天,3,50,Correct-vs-nearest-wrong prototype margin,True,0.0245873003766046,0.04890222947485578,-0.024314929098251177,0.8796811863731305,0.8969087733035285,1.0,1.0,0.0,26,512
paired_contrastive,黑天,1,42,Correct-vs-nearest-wrong prototype margin,True,0.21217645745842148,0.16432790534299938,0.047848552115422105,0.6175455133008113,0.6727427729704002,0.9828703703703704,0.9828703703703704,0.0,120,512
paired_contrastive,黑天,2,43,Correct-vs-nearest-wrong prototype margin,True,0.1707829881759451,0.12633913846068087,0.044443849715264216,0.614373184377795,0.7074699171154497,0.9360497835497835,0.9283112720612721,0.007738511488511457,120,512
paired_contrastive,黑天,3,44,Correct-vs-nearest-wrong prototype margin,True,0.1477440789900952,0.129963858217857,0.017780220772238203,0.6390442610163292,0.6874326247590535,0.9593827614267866,0.962567385444744,-0.0031846240179573826,120,512
prototype_contrastive,逆光,1,45,Correct-vs-nearest-wrong prototype margin,True,0.12279704812275047,0.10931387334770275,0.013483174775047721,0.7332531560781175,0.7744506945929082,1.0,1.0,0.0,37,512
prototype_contrastive,逆光,2,46,Correct-vs-nearest-wrong prototype margin,True,0.05194064501966104,0.03351575765399719,0.018424887365663847,0.7863523839088575,0.8390787823613631,1.0,0.980246913580247,0.01975308641975304,37,512
prototype_contrastive,逆光,3,47,Correct-vs-nearest-wrong prototype margin,True,0.11386165117104383,0.09205368549819144,0.021807965672852384,0.6859901484711163,0.7382281659490783,1.0,1.0,0.0,37,512
prototype_contrastive,雨天,1,48,Correct-vs-nearest-wrong prototype margin,True,0.04983882956699863,0.051377163325049185,-0.0015383337580505557,0.8479293708283202,0.841727820903553,1.0,1.0,0.0,26,512
prototype_contrastive,雨天,2,49,Correct-vs-nearest-wrong prototype margin,True,0.0621529017790619,0.03902577614292941,0.023127125636132492,0.823043562566669,0.8482706321023327,1.0,1.0,0.0,26,512
prototype_contrastive,雨天,3,50,Correct-vs-nearest-wrong prototype margin,True,0.0245873003766046,0.06722323917521483,-0.04263593879861023,0.8796811863731305,0.8751398626783774,1.0,1.0,0.0,26,512
prototype_contrastive,黑天,1,42,Correct-vs-nearest-wrong prototype margin,True,0.21217645745842148,0.13900088356975104,0.07317557388867044,0.6175455133008113,0.7413019416887837,0.9828703703703704,0.9642698919014708,0.01860047846889956,120,512
prototype_contrastive,黑天,2,43,Correct-vs-nearest-wrong prototype margin,True,0.1707829881759451,0.12622439946479277,0.044558588711152314,0.614373184377795,0.7340019405109136,0.9360497835497835,0.9553656809739233,-0.01931589742413975,120,512
prototype_contrastive,黑天,3,44,Correct-vs-nearest-wrong prototype margin,True,0.1477440789900952,0.10167956381800748,0.04606451517208772,0.6390442610163292,0.7610276272044556,0.9593827614267866,0.9634262796027502,-0.004043518175963601,120,512
classification_feedback,逆光,1,45,Generated-feature correct-class logit margin,True,4.839464345091098,4.6080616023894905,0.23140274270160788,0.9489840456543329,0.9382635405977288,1.0,1.0,0.0,37,512
classification_feedback,逆光,2,46,Generated-feature correct-class logit margin,True,3.3869391075662665,2.6330123592067407,0.7539267483595258,0.8908522047115478,0.8190781287476487,1.0,0.980246913580247,0.01975308641975304,37,512
classification_feedback,逆光,3,47,Generated-feature correct-class logit margin,True,4.7462241126073375,4.365567556859271,0.38065655574806634,0.9435141386245351,0.9357885599488293,1.0,1.0,0.0,37,512
classification_feedback,雨天,1,48,Generated-feature correct-class logit margin,True,3.5547024664970546,3.6086064720383058,-0.05390400554125119,0.8905433426651678,0.8726795817016341,1.0,0.9629629629629629,0.03703703703703709,26,512
classification_feedback,雨天,2,49,Generated-feature correct-class logit margin,True,4.157467411687741,3.3761736773527584,0.7812937343349828,0.9449382918435629,0.8611081428311232,1.0,1.0,0.0,26,512
classification_feedback,雨天,3,50,Generated-feature correct-class logit margin,True,3.599366607932517,2.680996360687109,0.9183702472454081,0.8790381995030908,0.8186570514892829,1.0,1.0,0.0,26,512
classification_feedback,黑天,1,42,Generated-feature correct-class logit margin,True,4.644758481532335,3.9303604012665647,0.7143980802657706,0.9234661536239173,0.8782837359048876,0.9828703703703704,0.9371605392045643,0.04570983116580607,120,512
classification_feedback,黑天,2,43,Generated-feature correct-class logit margin,True,3.913959769262389,3.0216771028227716,0.8922826664396175,0.8589052369338345,0.802282577044431,0.9360497835497835,0.8952963989538861,0.04075338459589739,120,512
classification_feedback,黑天,3,44,Generated-feature correct-class logit margin,True,4.120691181595126,3.671009131769339,0.4496820498257872,0.8943937466234487,0.8695440097620261,0.9593827614267866,0.9644283185949852,-0.0050455571681986555,120,512
