run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_cycle,best_train_dual_d_contrastive,best_train_dual_d_generator_total,best_train_dual_d_adv_primary,best_train_dual_d_adv_auxiliary,best_train_dual_d_prototype_contrastive,best_train_acc_target_like,best_train_acc_source_like,best_train_dual_d_identity,best_train_dual_d_classification_feedback
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_逆光_20260829_190447,module_c_no_module_c_逆光_20260829_190447/metrics_iter01,no_module_c,逆光,1,45,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_逆光_20260829_190447/metrics_iter01.csv,60,49.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_逆光_20260829_190447/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_逆光_20260829_190447/result_summary_iter01.json,0.46869855374097824,1.4762015640735626,0.01637754449620843,0.3293100371956825,0.32579170912504196,1.4157463312149048,0.9565217391304348,0.9809782608695652,0.3541076108813286,1.4975399374961853
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_逆光_20260829_190447,module_c_no_module_c_逆光_20260829_190447/metrics_iter02,no_module_c,逆光,2,46,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_逆光_20260829_190447/metrics_iter02.csv,45,16.0,0.972972972972973,0.9777777777777779,0.9861111111111112,0.980246913580247,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_逆光_20260829_190447/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_逆光_20260829_190447/result_summary_iter02.json,0.37892232090234756,1.7748552560806274,0.02819256717339158,0.5435275882482529,1.0352560728788376,1.7879221141338348,0.7717391304347826,0.7934782608695652,0.2798074334859848,2.2409034967422485
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_逆光_20260829_190447,module_c_no_module_c_逆光_20260829_190447/metrics_iter03,no_module_c,逆光,3,47,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_逆光_20260829_190447/metrics_iter03.csv,57,39.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_逆光_20260829_190447/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_逆光_20260829_190447/result_summary_iter03.json,0.4261263832449913,1.5091562271118164,0.01230575772933662,0.2711329832673073,0.22109731286764145,1.4537233114242554,0.9646739130434783,0.9782608695652174,0.33161111921072006,1.4972062706947327
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_雨天_20260829_190447,module_c_no_module_c_雨天_20260829_190447/metrics_iter01,no_module_c,雨天,1,48,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_雨天_20260829_190447/metrics_iter01.csv,52,32.0,0.9615384615384616,0.9666666666666667,0.9666666666666667,0.9629629629629629,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_雨天_20260829_190447/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_雨天_20260829_190447/result_summary_iter01.json,0.45846305042505264,1.0736216306686401,0.01459018001332879,0.5060576424002647,0.22345134615898132,1.004855141043663,0.9891304347826086,0.9972826086956522,0.35102539509534836,1.1400551497936249
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_雨天_20260829_190447,module_c_no_module_c_雨天_20260829_190447/metrics_iter02,no_module_c,雨天,2,49,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_雨天_20260829_190447/metrics_iter02.csv,50,27.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_雨天_20260829_190447/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_雨天_20260829_190447/result_summary_iter02.json,0.45699942111968994,1.1724527776241302,0.009232428390532732,0.23109466955065727,0.23052675649523735,1.123668611049652,0.970108695652174,1.0,0.34154602885246277,1.1690966486930847
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_雨天_20260829_190447,module_c_no_module_c_雨天_20260829_190447/metrics_iter03,no_module_c,雨天,3,50,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_雨天_20260829_190447/metrics_iter03.csv,50,24.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_雨天_20260829_190447/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_雨天_20260829_190447/result_summary_iter03.json,0.42846232652664185,1.2402886748313904,0.01262141321785748,0.431987427175045,0.19908325374126434,1.1955215334892273,0.9755434782608695,0.9945652173913043,0.3277868553996086,1.1957050263881683
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_黑天_20260829_190447,module_c_no_module_c_黑天_20260829_190447/metrics_iter01,no_module_c,黑天,1,42,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_黑天_20260829_190447/metrics_iter01.csv,60,60.0,0.95,0.9136574074074074,0.9550038376257889,0.9308168443192028,0.9698924731182795,0.019892473118279574,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_黑天_20260829_190447/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_黑天_20260829_190447/result_summary_iter01.json,0.5174336632092794,1.2074191570281982,0.01048824687798818,0.16365505754947662,0.18595317006111145,1.095158616701762,0.9909420289855072,0.9891304347826086,0.4174392372369766,1.382067322731018
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_黑天_20260829_190447,module_c_no_module_c_黑天_20260829_190447/metrics_iter02,no_module_c,黑天,2,43,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_黑天_20260829_190447/metrics_iter02.csv,51,36.0,0.9083333333333333,0.8831689144189144,0.9410391437830462,0.9060909031444746,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_黑天_20260829_190447/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_黑天_20260829_190447/result_summary_iter02.json,0.4978816161553065,1.308968226114909,0.013414069544523954,0.3217732608318329,0.12536239375670752,1.2027095754941304,0.9692028985507246,0.9746376811594203,0.39615105589230853,1.4786647756894429
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_黑天_20260829_190447,module_c_no_module_c_黑天_20260829_190447/metrics_iter03,no_module_c,黑天,3,44,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_黑天_20260829_190447/metrics_iter03.csv,60,53.0,0.95,0.9389028005398631,0.9663568139177895,0.9497670049172663,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_黑天_20260829_190447/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_module_c_黑天_20260829_190447/result_summary_iter03.json,0.5182077884674072,1.2360481421152751,0.015437076178689798,0.2646290883421898,0.24994012713432312,1.1558352708816528,0.9764492753623188,0.9836956521739131,0.4334691564242045,1.4282352526982625
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_paired_contrastive_逆光_20260829_170127,module_c_no_paired_contrastive_逆光_20260829_170127/metrics_iter01,no_paired_contrastive,逆光,1,45,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_paired_contrastive_逆光_20260829_170127/metrics_iter01.csv,54,36.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_paired_contrastive_逆光_20260829_170127/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_paired_contrastive_逆光_20260829_170127/result_summary_iter01.json,0.25403741747140884,1.355596512556076,0.3645987808704376,0.6853819787502289,0.5714807659387589,1.2656847536563873,0.9619565217391305,0.9945652173913043,0.22879067063331604,1.4659194350242615
