run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_prototype_contrastive,best_train_dual_d_contrastive,best_train_dual_d_cycle,best_train_dual_d_generator_total,best_train_acc_target_like,best_train_dual_d_identity,best_train_acc_source_like,best_train_dual_d_adv_primary,best_train_dual_d_classification_feedback,best_train_dual_d_adv_auxiliary
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_逆光_20260827_130927,module_c_no_cycle_逆光_20260827_130927/metrics_iter01,no_cycle,逆光,1,45,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_逆光_20260827_130927/metrics_iter01.csv,53,38.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_逆光_20260827_130927/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_逆光_20260827_130927/result_summary_iter01.json,1.3569099108378093,1.4093600908915203,0.3567735552787781,1.1390208800633748,0.9130434782608695,0.2594691514968872,0.927536231884058,0.8138738671938578,1.8690126339594524,0.7219007015228271
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_逆光_20260827_130927,module_c_no_cycle_逆光_20260827_130927/metrics_iter02,no_cycle,逆光,2,46,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_逆光_20260827_130927/metrics_iter02.csv,37,22.0,0.972972972972973,0.9777777777777779,0.9861111111111112,0.980246913580247,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_逆光_20260827_130927/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_逆光_20260827_130927/result_summary_iter02.json,1.673267165819804,1.6654677391052246,0.346226046482722,1.4446975787480671,0.782608695652174,0.2571810285250346,0.8297101449275363,0.8367162346839905,2.40771754582723,1.2125280698140461
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_逆光_20260827_130927,module_c_no_cycle_逆光_20260827_130927/metrics_iter03,no_cycle,逆光,3,47,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_逆光_20260827_130927/metrics_iter03.csv,42,27.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_逆光_20260827_130927/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_逆光_20260827_130927/result_summary_iter03.json,1.4197868903477986,1.4543035825093586,0.3470066289107005,1.2190591891606648,0.8659420289855072,0.25568493207295734,0.9094202898550725,0.6308669050534567,2.03766659895579,0.6286268432935079
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雨天_20260827_130927,module_c_no_cycle_雨天_20260827_130927/metrics_iter01,no_cycle,雨天,1,51,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雨天_20260827_130927/metrics_iter01.csv,35,16.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雨天_20260827_130927/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雨天_20260827_130927/result_summary_iter01.json,0.8434755355119705,0.8832715749740601,0.3330454081296921,0.5741645097732544,0.9782608695652174,0.23838400840759277,0.9972826086956522,1.0852854549884796,0.904922142624855,0.6179175227880478
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雨天_20260827_130927,module_c_no_cycle_雨天_20260827_130927/metrics_iter02,no_cycle,雨天,2,52,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雨天_20260827_130927/metrics_iter02.csv,35,12.0,0.9615384615384616,0.9722222222222222,0.9666666666666667,0.9663299663299664,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雨天_20260827_130927/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雨天_20260827_130927/result_summary_iter02.json,1.1446325778961182,1.1537013947963715,0.3357299640774727,0.6271168440580368,0.9646739130434783,0.25243400037288666,0.9972826086956522,0.5295095145702362,0.9788410365581512,0.9345792382955551
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雨天_20260827_130927,module_c_no_cycle_雨天_20260827_130927/metrics_iter03,no_cycle,雨天,3,53,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雨天_20260827_130927/metrics_iter03.csv,35,17.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雨天_20260827_130927/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雨天_20260827_130927/result_summary_iter03.json,0.8091945201158524,0.8832704275846481,0.3277839943766594,0.5793729424476624,0.9864130434782609,0.2330559603869915,1.0,1.0263797044754028,0.9094543606042862,0.8219033479690552
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雾天_20260827_130927,module_c_no_cycle_雾天_20260827_130927/metrics_iter01,no_cycle,雾天,1,48,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雾天_20260827_130927/metrics_iter01.csv,60,57.0,0.9772727272727273,0.9835164835164836,0.9764550264550265,0.9789898794795217,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雾天_20260827_130927/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雾天_20260827_130927/result_summary_iter01.json,0.8998848597208658,1.0610644419987996,0.32987085978190106,0.9581792453924814,0.9873188405797102,0.23777772982915243,0.9764492753623188,0.6330828964710236,1.6228009263674419,0.4656093567609787
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雾天_20260827_130927,module_c_no_cycle_雾天_20260827_130927/metrics_iter02,no_cycle,雾天,2,49,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雾天_20260827_130927/metrics_iter02.csv,60,60.0,0.9924242424242424,0.9955555555555556,0.9841269841269842,0.9891854177568463,0.9980276134122288,0.005603370987986356,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雾天_20260827_130927/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雾天_20260827_130927/result_summary_iter02.json,0.7671449780464172,0.9481499195098877,0.3208846499522527,0.9140904943148295,0.9836956521739131,0.2343764454126358,0.9891304347826086,0.41174061596393585,1.5741388599077861,0.483903447786967
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雾天_20260827_130927,module_c_no_cycle_雾天_20260827_130927/metrics_iter03,no_cycle,雾天,3,50,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雾天_20260827_130927/metrics_iter03.csv,60,52.0,0.9696969696969697,0.9794012571790349,0.9724867724867726,0.9749494754391177,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雾天_20260827_130927/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_雾天_20260827_130927/result_summary_iter03.json,0.9184365967909495,1.0759647488594055,0.32830674946308136,0.9591532448927561,0.980072463768116,0.23198514680067697,0.9818840579710145,0.5986732741196951,1.627995749314626,0.41307884454727173
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_黑天_20260827_130927,module_c_no_cycle_黑天_20260827_130927/metrics_iter01,no_cycle,黑天,1,42,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_黑天_20260827_130927/metrics_iter01.csv,40,25.0,0.9666666666666667,0.9469907407407407,0.9694162544772301,0.9556670327110579,0.9870967741935484,0.02043010752688168,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_黑天_20260827_130927/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_cycle_黑天_20260827_130927/result_summary_iter01.json,0.49014180472918917,0.6283667768750872,0.3333929053374699,0.5170212132590157,0.9984472049689441,0.23118270082133158,1.0,0.32424628734588623,0.8542924267905099,0.3549731501511165
