variant,domain,runs,best_val_acc_mean,best_val_acc_std,best_val_acc_ci95,best_val_precision_mean,best_val_precision_std,best_val_precision_ci95,best_val_recall_mean,best_val_recall_std,best_val_recall_ci95,best_val_f1_mean,best_val_f1_std,best_val_f1_ci95,best_train_full_acc_mean,best_train_full_acc_std,best_train_full_acc_ci95,generalization_gap_mean,generalization_gap_std,generalization_gap_ci95
no_cycle,雾天,3,0.9797979797979798,0.01157216084584807,0.013095132751733822,0.9861577654170247,0.00839479699385337,0.009499607076219269,0.9776895943562611,0.005917495262718707,0.0066962762664036024,0.9810415908918285,0.0073363923837242336,0.008301909510542858,0.9980276134122288,0.0,0.0,0.005603370987986356,0.0,0.0
no_cycle,黑天,3,0.9722222222222222,0.009622504486493728,0.010888888888888849,0.9537511870845204,0.008981428057812255,0.01016344261749492,0.9769920120529877,0.007234579434756793,0.008186697312895909,0.963092288834905,0.00789352187047367,0.008932360874473456,0.9870967741935484,0.0,0.0,0.02043010752688168,0.0,0.0
no_identity,逆光,3,0.990990990990991,0.015604061329449314,0.017657657657657623,0.9925925925925926,0.012830005981991638,0.014518518518518465,0.9953703703703703,0.008018753738744774,0.009074074074074042,0.9934156378600824,0.011404449761770359,0.012905349794238654,0.9545454545454546,0.0,0.0,-0.045454545454545414,0.0,0.0
no_identity,雨天,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,
no_identity,雾天,3,0.9797979797979798,0.004373865675678979,0.004949494949494946,0.9821253841943497,0.0060880571489184635,0.006889285210189005,0.9760751594084927,0.004142433134079642,0.004687604374719378,0.9784743850146528,0.004010687135440623,0.004538519742672745,0.9901380670611439,0.0,0.0,0.012865339788416641,0.0,0.0
no_identity,黑天,3,0.9638888888888889,0.026787918780535953,0.030313383753185638,0.9536388380138381,0.03137973470479681,0.035509512626670424,0.9737342014648483,0.01034803805968075,0.0117099074163087,0.9609610584283788,0.022142729510810217,0.025056857253572325,0.9849462365591398,0.015206597444871977,0.02107526881720428,0.005779569892473191,0.009314040934984101,0.012908602150537645
no_module_c,逆光,3,0.981981981981982,0.015604061329449314,0.017657657657657623,0.9873015873015873,0.011446194525282465,0.012952588441122558,0.9907407407407408,0.008018753738744774,0.009074074074074042,0.9880974992086103,0.010481393902665318,0.011860813758725195,,,,,,
no_module_c,雨天,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,
no_module_c,雾天,3,0.9747474747474748,0.01157216084584807,0.013095132751733822,0.9707980599647266,0.012147786440946086,0.013746514432607085,0.9704653371320038,0.004515014825449808,0.005109220248742452,0.9690071519168207,0.00870329003864006,0.009848699819422687,0.9921104536489151,0.0,0.0,0.029989241527702992,0.0,0.0
no_module_c,黑天,3,0.9361111111111111,0.067871065127059,0.0768033403337365,0.9318672839506174,0.036461333895729454,0.04125988344183596,0.9647933367445563,0.028188495643136816,0.03189828567332664,0.940633062762462,0.040729073180647536,0.04608928507479402,0.9405017921146953,0.07114131050272744,0.08050397134773479,0.00439068100358427,0.007062955698544325,0.007992486772704775
no_paired_contrastive,逆光,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,
no_paired_contrastive,雨天,3,0.9871794871794872,0.02220577958421636,0.02512820512820511,0.9907407407407407,0.016037507477489613,0.018148148148148156,0.9888888888888889,0.01924500897298752,0.021777777777777774,0.9887766554433222,0.019439403003017677,0.021997755331088636,0.9791666666666666,0.0,0.0,-0.02083333333333337,0.0,0.0
no_paired_contrastive,雾天,3,0.9797979797979798,0.004373865675678979,0.004949494949494946,0.9849743870433526,0.006151758619677846,0.0069613702103187855,0.9776895943562609,0.0023711339787916416,0.0026831906882424446,0.9803941596902341,0.004426885379621123,0.005009492392567913,0.9546351084812623,0.0,0.0,-0.022637618791464975,0.0,0.0
no_paired_contrastive,黑天,3,0.9666666666666667,0.03004626062886658,0.034000544657946837,0.9586033950617284,0.03859851033765129,0.04367832625417259,0.9753367655674124,0.012779578706186526,0.014461454684047729,0.964699007527963,0.028142687706644274,0.03184644911337526,,,,,,
no_prototype_contrastive,逆光,3,0.990990990990991,0.015604061329449314,0.017657657657657623,0.9925925925925926,0.012830005981991638,0.014518518518518465,0.9953703703703703,0.008018753738744774,0.009074074074074042,0.9934156378600824,0.011404449761770359,0.012905349794238654,,,,,,
no_prototype_contrastive,雨天,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,
no_prototype_contrastive,雾天,3,0.9772727272727273,0.007575757575757569,0.0085727767243308,0.9824325057658392,0.008304859344825865,0.009397833045501697,0.9748405915072582,0.006282896450910918,0.007109766636158967,0.9776685011166224,0.007163792076684919,0.008106593876429391,,,,,,
no_prototype_contrastive,黑天,3,0.9666666666666667,0.025000000000000022,0.02829016319029169,0.955324074074074,0.0365982397895408,0.041414807044941396,0.9747504616274499,0.012132673355011657,0.013729412365911329,0.9627181384087291,0.02616789720614107,0.02961176329234033,0.9741935483870968,0.0,0.0,0.007526881720430145,0.0,0.0
