run_dir,run,variant,domain,epochs,best_epoch,best_val_acc,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,best_train_dual_d_identity,best_train_acc_source_like,best_train_dual_d_cycle,best_train_dual_d_adv_primary,best_train_dual_d_contrastive,best_train_dual_d_adv_auxiliary,best_train_dual_d_generator_total,best_train_acc_target_like,best_train_dual_d_prototype_contrastive,best_train_dual_d_classification_feedback
runs/module_c_ablation/module_c_full_雾天_iter01_20260820_204237,module_c_full_雾天_iter01_20260820_204237,full,雾天,31,22.0,0.9848484848484849,0.9827916555736105,0.9901380670611439,0.005289582212659072,runs/module_c_ablation/module_c_full_雾天_iter01_20260820_204237/feature_embeddings.npz,0.20938006695359945,0.96875,0.25198804028332233,0.9602081589400768,2.559218645095825,0.6580312270671129,1.551873043179512,0.958984375,1.060736060142517,1.6792055144906044
runs/module_c_ablation/module_c_full_雾天_iter02_20260820_204237,module_c_full_雾天_iter02_20260820_204237,full,雾天,35,26.0,0.9848484848484849,0.983186952248023,0.980276134122288,-0.004572350726196883,runs/module_c_ablation/module_c_full_雾天_iter02_20260820_204237/feature_embeddings.npz,0.1966305999085307,0.966796875,0.22912665084004402,0.5689073856920004,2.5304261595010757,0.5617719553411007,1.5027895495295525,0.97265625,1.0334392040967941,1.638395495712757
runs/module_c_ablation/module_c_full_雾天_iter03_20260820_204237,module_c_full_雾天_iter03_20260820_204237,full,雾天,41,32.0,0.9772727272727273,0.9745029808521871,1.0,0.022727272727272707,runs/module_c_ablation/module_c_full_雾天_iter03_20260820_204237/feature_embeddings.npz,0.18501842394471169,0.986328125,0.21544168144464493,0.5379626471549273,2.331513822078705,0.41077225655317307,1.4163407906889915,0.986328125,0.8206162936985493,1.5785606801509857
runs/module_c_ablation/module_c_full_黑天_iter01_20260820_204237,module_c_full_黑天_iter01_20260820_204237,full,黑天,43,34.0,0.9833333333333333,0.9757295173961841,0.989247311827957,0.005913978494623717,runs/module_c_ablation/module_c_full_黑天_iter01_20260820_204237/feature_embeddings.npz,0.17252960701783498,0.9979166666666667,0.20269101460774738,0.35314733584721886,2.055068508783976,0.34924714962641396,1.2849757273991902,1.0,0.4433937946955363,1.4851391712824504
runs/module_c_ablation/module_c_full_黑天_iter02_20260820_204237,module_c_full_黑天_iter02_20260820_204237,full,黑天,46,43.0,0.9666666666666667,0.9720613406575909,0.9827956989247312,0.016129032258064502,runs/module_c_ablation/module_c_full_黑天_iter02_20260820_204237/feature_embeddings.npz,0.15532452364762625,0.9979166666666667,0.16989779174327851,0.4922025799751282,1.9762040615081786,0.331302273273468,1.245974882443746,0.9916666666666667,0.37840298811594647,1.4574364105860391
runs/module_c_ablation/module_c_full_黑天_iter03_20260820_204237,module_c_full_黑天_iter03_20260820_204237,full,黑天,38,29.0,0.9833333333333333,0.9713827838827839,0.9978494623655914,0.014516129032258074,runs/module_c_ablation/module_c_full_黑天_iter03_20260820_204237/feature_embeddings.npz,0.18481337726116182,0.9875,0.21091325283050538,0.446709014972051,2.1663921038309732,0.4617254316806793,1.3512232542037963,0.9916666666666667,0.5782428622245789,1.5367086410522461
runs/module_c_ablation/module_c_no_classification_feedback_逆光_iter01_20260822_082835,module_c_no_classification_feedback_逆光_iter01_20260822_082835,no_classification_feedback,逆光,43,34.0,1.0,1.0,0.9848484848484849,-0.015151515151515138,runs/module_c_ablation/module_c_no_classification_feedback_逆光_iter01_20260822_082835/feature_embeddings.npz,0.20099753737449647,0.91875,0.18623091876506806,0.5683639347553253,2.7909592151641847,0.5743719339370728,0.4762436091899872,0.86875,1.3691954135894775,1.969970989227295
runs/module_c_ablation/module_c_no_classification_feedback_逆光_iter02_20260822_082835,module_c_no_classification_feedback_逆光_iter02_20260822_082835,no_classification_feedback,逆光,30,21.0,1.0,1.0,0.9242424242424242,-0.0757575757575758,runs/module_c_ablation/module_c_no_classification_feedback_逆光_iter02_20260822_082835/feature_embeddings.npz,0.21546156108379363,0.8,0.20002030432224274,0.706582224369049,2.953023815155029,1.166353702545166,0.5285997748374939,0.75625,1.5954436540603638,2.4992018222808836
runs/module_c_ablation/module_c_no_classification_feedback_逆光_iter03_20260822_082835,module_c_no_classification_feedback_逆光_iter03_20260822_082835,no_classification_feedback,逆光,35,26.0,0.972972972972973,0.9840455840455841,0.9924242424242424,0.019451269451269404,runs/module_c_ablation/module_c_no_classification_feedback_逆光_iter03_20260822_082835/feature_embeddings.npz,0.2022037386894226,0.875,0.19640991389751433,0.6599385738372803,2.6813354969024656,0.4028457701206207,0.4584301471710205,0.85625,1.261601448059082,2.1420519828796385
runs/module_c_ablation/module_c_no_classification_feedback_雨天_iter01_20260822_082835,module_c_no_classification_feedback_雨天_iter01_20260822_082835,no_classification_feedback,雨天,24,15.0,0.6538461538461539,0.6541486291486291,0.625,-0.028846153846153855,runs/module_c_ablation/module_c_no_classification_feedback_雨天_iter01_20260822_082835/feature_embeddings.npz,0.2207420915365219,0.7109375,0.21987246721982956,1.2142152190208435,3.2360461354255676,0.36825352907180786,0.5251303762197495,0.7265625,1.5009220242500305,2.702960193157196
