constraint,domain,iteration,seed,metric,higher_is_better,full_metric_mean,ablated_metric_mean,mechanism_gain,full_secondary_mean,ablated_secondary_mean,full_val_f1,ablated_val_f1,f1_gain,paired_target_samples,paired_source_samples
identity,雨天,2,52,Target identity cosine error,False,0.027220914906640102,0.025108123812354242,-0.0021127910942858596,0.02631564784654239,0.02408851833297136,0.8552188552188551,0.7751683501683502,0.08005050505050493,26,512
identity,雨天,3,53,Target identity cosine error,False,0.025954941197127362,0.02572358311381962,-0.00023135808330774013,0.025548226577651538,0.025104550039220803,0.9629629629629629,1.0,-0.03703703703703709,26,512
identity,雾天,1,48,Target identity cosine error,False,0.028141623056886948,0.033721313760026426,0.005579690703139479,0.02571446853032372,0.031599791078328665,0.9830499893991956,0.983186952248023,-0.00013696284882735998,132,512
identity,雾天,2,49,Target identity cosine error,False,0.027149568197829866,0.03163263733898259,0.004483069141152724,0.025227375601796376,0.02919892835552642,0.968654159937453,0.9716926993744597,-0.0030385394370067154,132,512
identity,雾天,3,50,Target identity cosine error,False,0.02895215099081868,0.03423956516947998,0.005287414178661298,0.027939586338278106,0.032675154300067906,0.9830499893991956,0.979218698279769,0.003831291119426594,132,512
identity,黑天,1,42,Target identity cosine error,False,0.029389901764140476,0.0324871529409112,0.0030972511767707253,0.02808814047439062,0.03065872653234188,0.9367649893965683,0.9453504043126685,-0.008585414916100209,120,512
identity,黑天,2,43,Target identity cosine error,False,0.031005073120629438,0.035461005732278714,0.004455932611649276,0.02971001121786881,0.03304959642090306,0.9259125520577818,0.9274333074333074,-0.0015207553755256509,120,512
identity,黑天,3,44,Target identity cosine error,False,0.028936477665140767,0.036294063560081954,0.007357585894941187,0.02661699692449571,0.033736160205643295,0.9644283185949852,0.9661779605459204,-0.001749641950935188,120,512
paired_contrastive,逆光,1,45,Correct-vs-nearest-wrong prototype margin,True,0.22189810264794432,0.0676480820192157,0.1542500206287286,0.7647291439228819,0.8733719433261261,1.0,0.980246913580247,0.01975308641975304,14,512
paired_contrastive,逆光,2,46,Correct-vs-nearest-wrong prototype margin,True,0.1585401053286764,0.040996799913999196,0.11754330541467721,0.8083925055158778,0.9092591479307205,0.980246913580247,0.9578002244668912,0.02244668911335579,14,512
paired_contrastive,逆光,3,47,Correct-vs-nearest-wrong prototype margin,True,0.21010213287646615,0.17160709288236856,0.03849503999409759,0.7104725805976913,0.7515914898295025,1.0,0.9840455840455841,0.015954415954415935,14,512
paired_contrastive,雨天,1,51,Correct-vs-nearest-wrong prototype margin,True,0.15071610529042065,0.16343371524342606,-0.012717609953005415,0.8306182222092685,0.8127189935930491,0.8618233618233617,0.8874643874643874,-0.02564102564102566,7,512
paired_contrastive,雨天,2,52,Correct-vs-nearest-wrong prototype margin,True,0.18713707879885072,0.17943026650646124,0.007706812292389481,0.8377733254401107,0.8262484573624559,0.8552188552188551,0.8824138824138824,-0.02719502719502731,7,512
paired_contrastive,雨天,3,53,Correct-vs-nearest-wrong prototype margin,True,0.1741391682994513,0.19231564332592282,-0.018176475026471517,0.8753304087733794,0.837709860333734,0.9629629629629629,1.0,-0.03703703703703709,7,512
paired_contrastive,雾天,1,48,Correct-vs-nearest-wrong prototype margin,True,0.1626082837931241,0.18247519535187096,-0.01986691155874687,0.6826766550425434,0.6575170388765333,0.9830499893991956,0.983186952248023,-0.00013696284882735998,79,512
paired_contrastive,雾天,2,49,Correct-vs-nearest-wrong prototype margin,True,0.09430859350334894,0.2213577516810132,-0.12704915817766427,0.7087485677962767,0.5983005018438577,0.968654159937453,0.9891854177568463,-0.020531257819393356,79,512
paired_contrastive,雾天,3,50,Correct-vs-nearest-wrong prototype margin,True,0.21423257065124698,0.1978083176362719,0.016424253014975077,0.6468726652380651,0.6791267538359573,0.9830499893991956,0.9731552934891741,0.009894695910021567,79,512
paired_contrastive,黑天,1,42,Correct-vs-nearest-wrong prototype margin,True,0.1312536884826371,0.1815834939844662,-0.050329805501829084,0.7166853576783749,0.6952163944539558,0.9367649893965683,0.9248660045471605,0.011898984849407768,57,512
paired_contrastive,黑天,2,43,Correct-vs-nearest-wrong prototype margin,True,0.22775355791803698,0.12437103198199637,0.10338252593604061,0.5964643473696755,0.7698434624359289,0.9259125520577818,0.9070160455486542,0.018896506509127553,57,512
paired_contrastive,黑天,3,44,Correct-vs-nearest-wrong prototype margin,True,0.21929511773839244,0.16696822035802225,0.05232689738037019,0.5642569489438543,0.6092620793543627,0.9644283185949852,0.9713827838827839,-0.006954465287798639,57,512
prototype_contrastive,逆光,1,45,Correct-vs-nearest-wrong prototype margin,True,0.22189810264794432,0.16004615463945054,0.06185194800849378,0.7647291439228819,0.8034935931692185,1.0,1.0,0.0,14,512
prototype_contrastive,逆光,2,46,Correct-vs-nearest-wrong prototype margin,True,0.1585401053286764,0.10148118847534938,0.05705891685332702,0.8083925055158778,0.872159744154606,0.980246913580247,0.980246913580247,0.0,14,512
prototype_contrastive,逆光,3,47,Correct-vs-nearest-wrong prototype margin,True,0.21010213287646615,0.14324737022330497,0.06685476265316118,0.7104725805976913,0.7680392563340054,1.0,0.980246913580247,0.01975308641975304,14,512
prototype_contrastive,雨天,1,51,Correct-vs-nearest-wrong prototype margin,True,0.15071610529042065,0.14681963761904152,0.0038964676713791335,0.8306182222092685,0.8242403213119791,0.8618233618233617,1.0,-0.13817663817663828,7,512
prototype_contrastive,雨天,2,52,Correct-vs-nearest-wrong prototype margin,True,0.18713707879885072,0.1638698709289629,0.023267207869887813,0.8377733254401107,0.8456013983414126,0.8552188552188551,0.8552188552188551,0.0,7,512
prototype_contrastive,雨天,3,53,Correct-vs-nearest-wrong prototype margin,True,0.1741391682994513,0.16902273879805968,0.005116429501391628,0.8753304087733794,0.8055024819021455,0.9629629629629629,1.0,-0.03703703703703709,7,512
prototype_contrastive,雾天,1,48,Correct-vs-nearest-wrong prototype margin,True,0.1626082837931241,0.10199363315895939,0.0606146506341647,0.6826766550425434,0.7739373922776567,0.9830499893991956,0.9789898794795217,0.004060109919673982,79,512
prototype_contrastive,雾天,2,49,Correct-vs-nearest-wrong prototype margin,True,0.09430859350334894,0.11677433963199044,-0.022465746128641495,0.7087485677962767,0.672999199703892,0.968654159937453,0.9827916555736105,-0.014137495636157515,79,512
prototype_contrastive,雾天,3,50,Correct-vs-nearest-wrong prototype margin,True,0.21423257065124698,0.15574558786991852,0.05848698278132847,0.6468726652380651,0.727179349116749,0.9830499893991956,0.9771336834828899,0.005916305916305764,79,512
prototype_contrastive,黑天,1,42,Correct-vs-nearest-wrong prototype margin,True,0.1312536884826371,0.2089160448820511,-0.07766235639941399,0.7166853576783749,0.6155298913972109,0.9367649893965683,0.9492151127174712,-0.012450123320902895,57,512
prototype_contrastive,黑天,2,43,Correct-vs-nearest-wrong prototype margin,True,0.22775355791803698,0.16898321953157336,0.058770338386463616,0.5964643473696755,0.67510197724708,0.9259125520577818,0.9407188508314718,-0.014806298773689996,57,512
prototype_contrastive,黑天,3,44,Correct-vs-nearest-wrong prototype margin,True,0.21929511773839244,0.16698094862051452,0.05231416911787792,0.5642569489438543,0.6229677076146615,0.9644283185949852,0.9713827838827839,-0.006954465287798639,57,512
