run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_prototype_contrastive,best_train_dual_d_identity,best_train_dual_d_adv_primary,best_train_dual_d_cycle,best_train_dual_d_generator_total,best_train_acc_target_like,best_train_acc_source_like,best_train_dual_d_contrastive,best_train_dual_d_classification_feedback,best_train_dual_d_adv_auxiliary
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_雨天_20260828_195248,module_c_no_cycle_雨天_20260828_195248/metrics_iter02,no_cycle,雨天,2,49,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_雨天_20260828_195248\metrics_iter02.csv,60,57.0,0.6923076923076923,0.8452380952380952,0.8208333333333333,0.7508417508417509,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_雨天_20260828_195248\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_雨天_20260828_195248\result_summary_iter02.json,1.1248644590377808,0.2503606826066971,0.5869514346122742,0.34640616178512573,1.3726574778556824,0.9239130434782609,0.9728260869565217,1.1516449451446533,1.90376877784729,0.7516820728778839
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_雨天_20260828_195248,module_c_no_cycle_雨天_20260828_195248/metrics_iter03,no_cycle,雨天,3,50,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_雨天_20260828_195248\metrics_iter03.csv,56,41.0,0.6153846153846154,0.6018518518518517,0.7666666666666666,0.6544973544973546,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_雨天_20260828_195248\feature_embeddings_iter03.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_雨天_20260828_195248\result_summary_iter03.json,1.2241863012313843,0.2561456263065338,1.0176086723804474,0.3544400632381439,1.4312304258346558,0.8858695652173914,0.8858695652173914,1.2458610534667969,1.9650010466575623,0.6949963271617889
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248,module_c_no_cycle_黑天_20260828_195248/metrics_iter01,no_cycle,黑天,1,42,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248\metrics_iter01.csv,60,55.0,0.9666666666666667,0.9469907407407407,0.9694162544772301,0.9556670327110579,0.9720430107526882,0.005376344086021501,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248\result_summary_iter01.json,0.47500312328338623,0.23064709454774857,0.28855740278959274,0.33181793987751007,0.8440621594587961,1.0,0.9981884057971014,0.6247339447339376,1.5154810746510823,0.320006142059962
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248,module_c_no_cycle_黑天_20260828_195248/metrics_iter02,no_cycle,黑天,2,43,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248\metrics_iter02.csv,60,49.0,0.9333333333333333,0.8809523809523809,0.9453884530104043,0.9035251322751322,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248\result_summary_iter02.json,0.7192811171213785,0.24254921823740005,0.5225135187307993,0.33695145944754284,0.906383752822876,0.9873188405797102,0.9855072463768116,0.8448343674341837,1.5764134128888447,0.3088962733745575
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248,module_c_no_cycle_黑天_20260828_195248/metrics_iter03,no_cycle,黑天,3,44,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248\metrics_iter03.csv,60,58.0,0.9666666666666667,0.9386574074074074,0.9670302523563393,0.9484259713033298,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248\feature_embeddings_iter03.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_黑天_20260828_195248\result_summary_iter03.json,0.6066782176494598,0.23519662270943323,0.37522144118944806,0.32796187698841095,0.8754994571208954,0.9945652173913043,0.9963768115942029,0.73190309604009,1.5403659741083782,0.42134468754132587
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202,module_c_no_identity_逆光_20260828_203202/metrics_iter01,no_identity,逆光,1,45,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202\metrics_iter01.csv,51,36.0,0.9459459459459459,0.9555555555555555,0.9675925925925927,0.9578002244668912,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202\result_summary_iter01.json,1.6911986470222473,0.25395195186138153,1.041843205690384,0.31965863704681396,1.3748265504837036,0.75,0.782608695652174,1.6931270360946655,2.681676506996155,1.0197436213493347
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202,module_c_no_identity_逆光_20260828_203202/metrics_iter02,no_identity,逆光,2,46,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202\metrics_iter02.csv,42,27.0,0.918918918918919,0.9341269841269842,0.9398148148148149,0.9298528631861964,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202\result_summary_iter02.json,1.7738072276115417,0.2561371922492981,0.8482563197612762,0.3198446184396744,1.5329516530036926,0.6739130434782609,0.5978260869565217,1.7510946989059448,3.0386592149734497,1.4322816729545593
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202,module_c_no_identity_逆光_20260828_203202/metrics_iter03,no_identity,逆光,3,47,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202\metrics_iter03.csv,53,38.0,0.972972972972973,0.9777777777777779,0.9814814814814815,0.9775533108866442,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202\feature_embeddings_iter03.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202\result_summary_iter03.json,1.5788062810897827,0.2489914894104004,0.7719066143035889,0.3109682500362396,1.245020866394043,0.8369565217391305,0.8532608695652174,1.6095905900001526,2.439077377319336,0.6578218638896942
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_雨天_20260828_203202,module_c_no_identity_雨天_20260828_203202/metrics_iter01,no_identity,雨天,1,48,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_雨天_20260828_203202\metrics_iter01.csv,60,58.0,0.9615384615384616,0.9444444444444443,0.9666666666666667,0.9481481481481482,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_雨天_20260828_203202\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_雨天_20260828_203202\result_summary_iter01.json,0.8008218109607697,0.2366270273923874,0.703066885471344,0.26064708828926086,1.2111791968345642,0.967391304347826,0.9945652173913043,0.8853054046630859,1.5965180397033691,0.5731874853372574
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_雨天_20260828_203202,module_c_no_identity_雨天_20260828_203202/metrics_iter02,no_identity,雨天,2,49,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_雨天_20260828_203202\metrics_iter02.csv,60,59.0,0.6923076923076923,0.798941798941799,0.8208333333333333,0.7254449254449256,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_雨天_20260828_203202\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_雨天_20260828_203202\result_summary_iter02.json,1.1160789728164673,0.24303951114416122,0.6488875448703766,0.3094414174556732,1.4343005418777466,0.9130434782608695,0.9565217391304348,1.1784778833389282,1.8806703090667725,0.6829584538936615
