run,variant,domain,iteration,seed,target_raw_silhouette,target_translated_silhouette,target_silhouette_gain,source_target_raw_class_centroid_distance,source_target_translated_class_centroid_distance,class_centroid_alignment_gain,source_target_raw_coral,source_target_translated_coral,coral_alignment_gain,source_target_raw_prototype_diagonal,source_target_translated_prototype_diagonal,prototype_diagonal_gain,source_target_raw_prototype_margin,source_target_translated_prototype_margin,prototype_margin_gain,source_target_raw_prototype_top1,source_target_translated_prototype_top1,prototype_top1_gain,source_cycle_cosine_error,target_cycle_cosine_error,cycle_cosine_error,source_identity_cosine_error,target_identity_cosine_error,identity_cosine_error
module_c_no_classification_feedback_逆光_20260828_222304/metrics_iter02,no_classification_feedback,逆光,2,46,0.2566828332028095,0.255863827017947,-0.0008190061848624697,0.8679650525252024,0.865501436094443,0.00246361643075943,0.002086941382667149,0.002140035946201307,-5.30945635341582e-05,0.13203494250774384,0.13449856638908386,0.002463623881340027,0.01935393735766411,0.021236462518572807,0.001882525160908699,0.7777777777777778,0.7777777777777778,0.0,0.024153113813993092,0.02450371423234598,0.024328414023169535,0.026599777615545037,0.027134738305567143,0.02686725796055609
module_c_no_classification_feedback_逆光_20260828_222304/metrics_iter03,no_classification_feedback,逆光,3,47,0.32732190991982407,0.32507732242430193,-0.0022445874955221434,0.7654176925619444,0.7701467325290045,-0.004729039967060089,0.0024936398919948206,0.002533294482358736,-3.9654590363915384e-05,0.2345823496580124,0.22985325753688812,-0.004729092121124268,0.04959072172641754,0.05148088186979294,0.0018901601433753967,0.7777777777777778,0.7777777777777778,0.0,0.018776982532214964,0.01765501797789062,0.018216000255052794,0.026949317827539093,0.029202990063465308,0.0280761539455022
module_c_no_classification_feedback_雨天_20260828_222304/metrics_iter01,no_classification_feedback,雨天,1,48,0.36667252328942823,0.366834702057206,0.0001621787677777431,0.8668723367154598,0.8843780296544234,-0.017505692938963535,0.00452614296662435,0.00455468943824347,-2.854647161911958e-05,0.13312764465808868,0.11562194675207138,-0.017505697906017303,0.03057677112519741,0.02138037420809269,-0.009196396917104721,0.5,0.5,0.0,0.016566249042368086,0.022678478011085062,0.019622363526726576,0.030698845345603902,0.04529214802186559,0.037995496683734746
module_c_no_classification_feedback_雨天_20260828_222304/metrics_iter02,no_classification_feedback,雨天,2,49,0.4137582231007015,0.42229714555069353,0.008538922449992048,0.784152302891016,0.7786619514226913,0.005490351468324661,0.0030353109302125162,0.003032859573042607,2.4513571699092025e-06,0.2158476859331131,0.22133807837963104,0.005490392446517944,0.02369585633277893,0.03166371211409569,0.007967855781316757,0.6666666666666666,0.6666666666666666,0.0,0.01233599044415536,0.016432730972159807,0.014384360708157583,0.029383347167281245,0.03836439619502727,0.03387387168115426
module_c_no_classification_feedback_雨天_20260828_222304/metrics_iter03,no_classification_feedback,雨天,3,50,0.35580559868772976,0.353101771577924,-0.0027038271098057676,0.910080049186945,0.9187326033910116,-0.008652554204066631,0.0014366690606953953,0.001469155951080088,-3.24868903846926e-05,0.08991994708776474,0.08126737922430038,-0.008652567863464355,-0.018816499039530754,-0.022003144025802612,-0.003186644986271858,0.16666666666666666,0.16666666666666666,0.0,0.017668293023173718,0.028249261665465878,0.022958777344319798,0.02439707320189447,0.034331043191558344,0.029364058196726408
module_c_no_classification_feedback_黑天_20260828_222304/metrics_iter01,no_classification_feedback,黑天,1,42,0.28331105825824054,0.2868090030149244,0.0034979447566838573,0.6000187061727047,0.5718815699219704,0.02813713625073433,0.0008050054870330965,0.0007898112866480085,1.519420038508803e-05,0.399981290102005,0.42811843752861023,0.028137147426605225,0.23437514901161194,0.23277242481708527,-0.0016027241945266724,1.0,1.0,0.0,0.0038518395835257084,0.005857860036782607,0.004854849810154158,0.0678510436572158,0.08187036449145481,0.0748607040743353
module_c_no_classification_feedback_黑天_20260828_222304/metrics_iter02,no_classification_feedback,黑天,2,43,0.20705518548288182,0.2051595662985871,-0.0018956191842947334,0.7217523641884327,0.7342175655066967,-0.012465201318264008,0.0009969752042755101,0.0009973274712337154,-3.522669582052291e-07,0.2782476246356964,0.2657824158668518,-0.012465208768844604,0.0857677310705185,0.08829319477081299,0.0025254637002944946,0.875,0.875,0.0,0.0064389961857623836,0.007434482041794147,0.006936739113778265,0.049441628861756536,0.05965715190433786,0.054549390383047194
module_c_no_classification_feedback_黑天_20260828_222304/metrics_iter03,no_classification_feedback,黑天,3,44,0.3361287171959368,0.33579703179531334,-0.0003316854006234493,0.6367145236581564,0.6043816693127155,0.032332854345440865,0.001211894780013574,0.0011966579347856433,1.5236845227930684e-05,0.36328545212745667,0.3956183195114136,0.03233286738395691,0.22035996615886688,0.2136116325855255,-0.00674833357334137,1.0,1.0,0.0,0.002642685229384357,0.005619236844474708,0.004130961036929532,0.06185219148486618,0.08683484826243443,0.0743435198736503
module_c_no_cycle_逆光_20260828_195248/metrics_iter01,no_cycle,逆光,1,45,0.3039501502452621,0.3087145587078166,0.0047644084625544925,0.7776297910345925,0.7890120090709792,-0.011382218036386726,0.001967210581829029,0.002063224173606908,-9.601359177787913e-05,0.2223702073097229,0.21098798513412476,-0.011382222175598145,0.07488254457712173,0.07548539340496063,0.0006028488278388977,0.8888888888888888,0.7777777777777778,-0.11111111111111105,0.0644725258891712,0.06621973374474191,0.06534612981695656,0.03459616181754719,0.0308751376592476,0.0327356497383974
module_c_no_cycle_逆光_20260828_195248/metrics_iter02,no_cycle,逆光,2,46,0.24916241976451903,0.24966579535937866,0.0005033755948596341,0.860348340537813,0.8549714278843668,0.0053769126534461975,0.001684626073969455,0.0017704887129236825,-8.586263895422755e-05,0.13965165615081787,0.14502857625484467,0.005376920104026794,0.022670406848192215,0.023636795580387115,0.0009663887321949005,0.6666666666666666,0.8888888888888888,0.2222222222222222,0.054684326961466745,0.05598126779498156,0.05533279737822415,0.03039711796845425,0.029949332734113918,0.030173225351284083
